zone_id,timestamp,temperature,humidity,air_pressure,dust_concentration,noise_level,light_intensity
Zone-A,2024-03-08 01:30:00,22.7,50.0,101.45,13.8,68.3,594.0
Zone-B,2024-03-08 02:00:00,19.4,49.7,101.28,12.9,66.2,556.0
Zone-A,2024-03-08 02:30:00,19.0,43.9,101.63,14.3,65.3,447.0
Zone-C,2024-03-08 03:00:00,22.1,54.1,101.4,15.6,59.7,537.0
Zone-A,2024-03-08 03:30:00,22.0,48.2,101.43,12.5,66.7,561.0
Zone-B,2024-03-08 04:00:00,22.2,48.7,101.19,16.1,63.7,618.0
Zone-A,2024-03-08 04:30:00,19.9,49.6,101.35,15.5,63.3,562.0
Zone-C,2024-03-08 05:00:00,23.0,52.2,101.17,13.8,66.5,445.0
Zone-A,2024-03-08 05:30:00,23.0,49.7,101.51,13.7,70.4,521.0
Zone-B,2024-03-08 06:00:00,22.8,47.9,101.35,13.4,60.4,490.0
Zone-C,2024-03-08 06:30:00,23.7,49.8,101.24,14.1,71.7,530.0
Zone-A,2024-03-08 07:00:00,19.6,48.4,101.22,12.8,65.2,471.0
Zone-D,2024-03-08 07:30:00,21.2,50.5,100.99,8.5,68.7,542.0
Zone-A,2024-03-08 08:00:00,22.6,50.9,101.26,24.0,65.6,630.0
Zone-D,2024-03-08 08:30:00,25.1,51.4,101.26,15.0,63.8,523.0
Zone-D,2024-03-08 09:00:00,23.0,46.3,101.82,12.7,56.9,496.0
Zone-D,2024-03-08 09:30:00,20.3,49.8,101.31,16.3,68.0,450.0
Zone-B,2024-03-08 10:00:00,21.5,52.0,101.17,9.4,66.9,472.0
Zone-C,2024-03-08 10:30:00,21.1,50.4,101.3,18.0,61.3,613.0
Zone-C,2024-03-08 11:00:00,19.9,48.8,101.13,15.2,65.1,508.0
Zone-B,2024-03-08 11:30:00,22.4,53.9,101.33,19.2,59.7,391.0
Zone-C,2024-03-08 12:00:00,22.2,51.0,101.19,15.0,68.2,534.0
Zone-A,2024-03-08 12:30:00,21.5,50.6,101.45,11.3,62.6,546.0
Zone-B,2024-03-08 13:00:00,19.4,46.7,101.06,17.8,61.7,540.0
Zone-C,2024-03-08 13:30:00,21.5,55.3,101.33,18.2,66.4,477.0
Zone-D,2024-03-08 14:00:00,22.0,50.0,101.21,17.7,72.5,506.0
Zone-C,2024-03-08 14:30:00,23.1,51.6,100.78,16.5,66.3,438.0
Zone-A,2024-03-08 15:00:00,19.3,51.3,101.63,13.9,64.0,615.0
Zone-C,2024-03-08 15:30:00,23.3,46.4,101.16,21.5,63.0,473.0
Zone-C,2024-03-08 16:00:00,23.0,49.2,101.39,15.9,64.6,560.0
Zone-A,2024-03-08 16:30:00,20.1,50.4,101.18,19.9,64.5,596.0
Zone-D,2024-03-08 17:00:00,21.4,50.3,101.52,12.1,69.5,501.0
Zone-B,2024-03-08 17:30:00,22.6,51.6,101.28,12.6,65.3,399.0
Zone-C,2024-03-08 18:00:00,20.0,49.6,101.61,19.6,67.9,423.0
Zone-D,2024-03-08 18:30:00,22.5,47.4,101.29,17.9,67.0,564.0
Zone-D,2024-03-08 19:00:00,19.9,46.9,101.6,19.6,65.0,499.0
Zone-C,2024-03-08 19:30:00,23.8,51.6,101.42,12.2,68.4,490.0
Zone-A,2024-03-08 20:00:00,19.9,47.7,101.18,19.4,62.9,519.0
Zone-C,2024-03-08 20:30:00,18.8,52.8,101.14,16.2,66.2,532.0
Zone-D,2024-03-08 21:00:00,22.5,55.7,101.34,21.7,66.9,514.0
Zone-B,2024-03-08 21:30:00,23.3,50.6,101.39,16.0,65.7,606.0
Zone-C,2024-03-08 22:00:00,25.4,51.0,101.55,18.6,68.3,527.0
Zone-A,2024-03-08 22:30:00,23.0,51.7,101.16,14.8,61.4,529.0
Zone-C,2024-03-08 23:00:00,22.6,52.1,101.15,17.9,66.4,612.0
Zone-A,2024-03-08 23:30:00,23.2,48.2,101.03,15.7,61.9,463.0
Zone-B,2024-03-09 00:00:00,20.6,48.3,101.59,12.1,63.7,428.0
Zone-D,2024-03-09 00:30:00,19.4,49.2,101.34,11.5,60.4,406.0
Zone-A,2024-03-09 01:00:00,22.2,52.8,101.01,13.1,68.2,489.0
Zone-B,2024-03-09 01:30:00,21.8,51.1,101.21,12.7,65.9,431.0
Zone-C,2024-03-09 02:00:00,19.6,47.9,101.44,18.5,63.6,542.0
Zone-C,2024-03-09 02:30:00,24.1,50.1,101.43,20.6,62.9,488.0
Zone-B,2024-03-09 03:00:00,24.4,47.2,101.33,13.1,69.1,441.0
Zone-A,2024-03-09 03:30:00,21.9,46.9,101.01,9.3,64.5,524.0
Zone-B,2024-03-09 04:00:00,22.0,50.7,101.21,18.0,67.2,506.0
Zone-A,2024-03-09 04:30:00,22.3,48.6,101.69,17.4,64.7,491.0
Zone-C,2024-03-09 05:00:00,21.4,49.1,101.35,9.9,64.3,493.0
Zone-B,2024-03-09 05:30:00,22.0,50.5,101.31,16.2,64.6,549.0
Zone-C,2024-03-09 06:00:00,23.0,56.7,101.44,12.8,64.5,475.0
Zone-C,2024-03-09 06:30:00,22.0,53.3,101.24,13.3,66.5,459.0
Zone-A,2024-03-09 07:00:00,20.7,51.1,100.94,13.6,67.6,408.0
Zone-D,2024-03-09 07:30:00,19.4,45.7,100.75,20.7,65.4,466.0
Zone-B,2024-03-09 08:00:00,20.1,56.6,101.43,14.6,68.7,519.0
Zone-C,2024-03-09 08:30:00,21.2,48.2,101.18,12.0,68.3,474.0
Zone-B,2024-03-09 09:00:00,24.0,47.5,101.18,13.6,62.3,471.0
Zone-A,2024-03-09 09:30:00,22.8,53.6,101.36,11.4,63.2,471.0
Zone-B,2024-03-09 10:00:00,24.6,53.0,101.54,12.9,61.2,529.0
Zone-A,2024-03-09 10:30:00,21.3,50.9,101.38,13.8,68.0,427.0
Zone-D,2024-03-09 11:00:00,22.2,52.0,101.64,15.4,68.8,560.0
Zone-D,2024-03-09 11:30:00,25.5,51.0,101.71,17.4,60.4,501.0
Zone-D,2024-03-09 12:00:00,20.6,54.6,101.33,11.0,67.6,566.0
Zone-C,2024-03-09 12:30:00,21.4,48.7,101.34,9.6,67.1,585.0
Zone-D,2024-03-09 13:00:00,21.0,55.5,101.5,14.8,66.9,580.0
Zone-D,2024-03-09 13:30:00,22.2,51.2,101.19,14.6,67.1,491.0
Zone-C,2024-03-09 14:00:00,21.2,53.5,101.4,13.6,70.3,606.0
Zone-C,2024-03-09 14:30:00,23.5,46.4,101.38,16.8,60.2,560.0
Zone-A,2024-03-09 15:00:00,22.3,53.4,101.24,16.5,66.6,509.0
Zone-C,2024-03-09 15:30:00,22.7,49.6,101.06,8.9,63.1,540.0
Zone-A,2024-03-09 16:00:00,20.4,53.2,101.58,16.4,64.5,551.0
Zone-D,2024-03-09 16:30:00,23.7,49.3,101.32,12.6,65.9,397.0
Zone-C,2024-03-09 17:00:00,21.6,47.4,101.28,12.6,59.3,467.0
Zone-B,2024-03-09 17:30:00,21.3,53.2,101.17,12.5,61.4,557.0
Zone-B,2024-03-09 18:00:00,21.7,50.8,100.99,9.7,62.3,581.0
Zone-A,2024-03-09 18:30:00,20.4,48.1,101.3,13.1,66.4,458.0
Zone-B,2024-03-09 19:00:00,20.3,58.2,101.11,17.4,62.2,423.0
Zone-C,2024-03-09 19:30:00,21.9,46.0,101.22,12.6,68.8,423.0
Zone-D,2024-03-09 20:00:00,23.0,50.9,101.25,12.7,65.5,511.0
Zone-C,2024-03-09 20:30:00,22.6,49.2,101.07,17.6,65.0,469.0
Zone-A,2024-03-09 21:00:00,20.5,52.8,101.58,16.7,66.9,559.0
Zone-D,2024-03-09 21:30:00,21.5,56.4,101.09,14.3,62.7,503.0
Zone-B,2024-03-09 22:00:00,24.6,49.3,101.38,6.3,66.3,550.0
Zone-B,2024-03-09 22:30:00,22.2,46.8,101.06,13.3,61.4,579.0
Zone-B,2024-03-09 23:00:00,22.7,54.3,101.24,12.7,62.9,477.0
Zone-B,2024-03-09 23:30:00,21.3,53.7,101.48,15.8,60.0,515.0
Zone-D,2024-03-10 00:00:00,21.5,54.2,101.48,15.4,58.7,493.0
Zone-A,2024-03-10 00:30:00,21.0,51.2,101.07,15.8,58.3,431.0
Zone-C,2024-03-10 01:00:00,20.7,48.4,101.38,10.0,63.1,469.0
Zone-D,2024-03-10 01:30:00,23.0,49.4,101.11,11.8,63.3,418.0
Zone-C,2024-03-10 02:00:00,24.4,50.0,101.12,11.8,61.4,519.0
Zone-B,2024-03-10 02:30:00,19.5,49.5,101.41,13.2,62.0,542.0
Zone-D,2024-03-10 03:00:00,20.3,49.2,101.32,13.2,61.4,472.0
Zone-D,2024-03-10 03:30:00,22.5,47.8,101.39,14.2,63.2,464.0
Zone-D,2024-03-10 04:00:00,22.3,53.4,101.32,12.1,68.3,456.0
Zone-C,2024-03-10 04:30:00,24.6,49.5,101.12,16.7,64.1,522.0
Zone-B,2024-03-10 05:00:00,22.1,45.9,101.29,16.5,65.3,563.0
Zone-A,2024-03-10 05:30:00,22.5,49.3,101.34,13.5,66.1,518.0
Zone-D,2024-03-10 06:00:00,20.1,52.3,101.75,16.6,58.9,479.0
Zone-B,2024-03-10 06:30:00,20.1,49.1,101.44,12.8,70.7,356.0
Zone-A,2024-03-10 07:00:00,21.6,51.1,101.06,11.7,67.3,596.0
Zone-D,2024-03-10 07:30:00,25.1,49.0,101.57,14.8,67.8,489.0
Zone-D,2024-03-10 08:00:00,20.3,54.8,101.67,13.7,67.8,493.0
Zone-B,2024-03-10 08:30:00,25.3,45.5,101.26,10.7,60.2,494.0
Zone-B,2024-03-10 09:00:00,21.3,47.0,101.47,18.9,66.5,406.0
Zone-A,2024-03-10 09:30:00,22.5,51.0,101.13,16.0,63.5,459.0
Zone-C,2024-03-10 10:00:00,20.2,52.5,101.56,14.6,68.0,576.0
Zone-A,2024-03-10 10:30:00,22.2,49.8,101.39,12.5,66.6,508.0
Zone-A,2024-03-10 11:00:00,20.0,46.1,101.1,16.5,64.0,499.0
Zone-D,2024-03-10 11:30:00,24.0,51.3,101.17,12.0,65.9,451.0
Zone-B,2024-03-10 12:00:00,23.9,50.7,101.33,12.1,66.9,556.0
Zone-C,2024-03-10 12:30:00,21.8,52.8,101.22,14.8,71.3,481.0
Zone-B,2024-03-10 13:00:00,22.8,48.8,101.36,17.1,62.3,465.0
Zone-D,2024-03-10 13:30:00,22.9,50.5,101.53,15.8,70.6,535.0
Zone-C,2024-03-10 14:00:00,24.8,55.1,101.17,19.4,67.8,544.0
Zone-C,2024-03-10 14:30:00,23.8,49.1,101.37,13.7,71.9,462.0
Zone-C,2024-03-10 15:00:00,20.1,47.5,101.29,14.8,67.7,502.0
Zone-D,2024-03-10 15:30:00,21.3,51.4,101.53,15.6,67.6,504.0
Zone-A,2024-03-10 16:00:00,21.6,52.1,101.35,18.0,69.6,494.0
Zone-D,2024-03-10 16:30:00,23.0,53.2,101.38,16.5,65.4,513.0
Zone-B,2024-03-10 17:00:00,22.8,48.2,100.96,14.7,64.5,581.0
Zone-B,2024-03-10 17:30:00,22.4,51.7,101.22,13.2,62.5,437.0
Zone-B,2024-03-10 18:00:00,23.1,50.9,101.6,16.6,65.7,401.0
Zone-D,2024-03-10 18:30:00,24.9,50.1,100.88,15.7,62.6,458.0
Zone-B,2024-03-10 19:00:00,22.4,48.2,101.51,14.7,66.2,528.0
Zone-B,2024-03-10 19:30:00,22.4,50.6,101.33,19.5,67.5,465.0
Zone-D,2024-03-10 20:00:00,20.3,47.6,101.39,11.7,63.0,433.0
Zone-A,2024-03-10 20:30:00,23.4,52.0,101.48,13.6,59.7,458.0
Zone-D,2024-03-10 21:00:00,20.0,45.9,101.53,14.3,65.9,555.0
Zone-A,2024-03-10 21:30:00,20.5,51.8,101.01,15.8,68.2,443.0
Zone-B,2024-03-10 22:00:00,23.2,50.7,101.21,11.4,65.7,525.0
Zone-B,2024-03-10 22:30:00,21.5,47.1,101.45,18.6,67.9,579.0
Zone-B,2024-03-10 23:00:00,21.0,45.8,101.38,13.8,68.0,448.0
Zone-D,2024-03-10 23:30:00,20.6,50.2,101.33,17.0,64.7,404.0
Zone-A,2024-03-11 00:00:00,27.2,50.1,101.88,14.6,61.8,484.0
Zone-A,2024-03-11 00:30:00,23.7,51.9,101.36,14.8,65.4,493.0
Zone-D,2024-03-11 01:00:00,23.8,52.7,101.11,10.6,61.3,482.0
Zone-C,2024-03-11 01:30:00,22.3,49.8,101.43,15.0,69.8,525.0
Zone-C,2024-03-11 02:00:00,22.0,45.5,101.37,16.5,62.9,442.0
Zone-D,2024-03-11 02:30:00,23.6,47.1,101.33,15.1,66.3,452.0
Zone-A,2024-03-11 03:00:00,21.8,47.1,101.31,16.5,67.7,575.0
Zone-C,2024-03-11 03:30:00,21.6,49.2,101.55,16.7,68.7,598.0
Zone-D,2024-03-11 04:00:00,20.7,52.4,101.18,19.7,61.4,546.0
Zone-D,2024-03-11 04:30:00,21.2,51.7,101.55,13.1,60.6,487.0
Zone-C,2024-03-11 05:00:00,21.4,46.1,100.9,18.6,69.5,470.0
Zone-C,2024-03-11 05:30:00,21.6,52.4,101.46,20.3,66.9,449.0
Zone-A,2024-03-11 06:00:00,23.2,47.9,101.29,18.3,62.3,496.0
Zone-D,2024-03-11 06:30:00,20.2,47.0,101.19,19.9,65.1,632.0
Zone-D,2024-03-11 07:00:00,23.4,52.9,101.08,14.5,61.6,485.0
Zone-D,2024-03-11 07:30:00,21.3,49.9,101.47,14.2,67.5,427.0
Zone-C,2024-03-11 08:00:00,22.7,48.7,101.35,17.6,60.7,573.0
Zone-C,2024-03-11 08:30:00,21.7,55.6,101.31,19.0,65.2,513.0
Zone-B,2024-03-11 09:00:00,22.2,49.3,101.25,15.7,66.6,512.0
Zone-A,2024-03-11 09:30:00,22.8,45.4,101.48,12.8,60.1,592.0
Zone-A,2024-03-11 10:00:00,24.1,50.0,101.51,14.0,63.6,470.0
Zone-D,2024-03-11 10:30:00,21.0,49.2,101.16,6.5,64.4,452.0
Zone-B,2024-03-11 11:00:00,22.4,49.3,101.43,15.0,61.2,437.0
Zone-D,2024-03-11 11:30:00,20.1,47.4,101.16,17.8,65.6,407.0
Zone-A,2024-03-11 12:00:00,20.7,49.9,101.1,15.2,62.5,493.0
Zone-C,2024-03-11 12:30:00,21.1,50.3,101.59,17.7,61.8,626.0
Zone-A,2024-03-11 13:00:00,23.8,47.9,101.13,16.0,67.1,588.0
Zone-C,2024-03-11 13:30:00,22.8,48.0,101.2,16.9,61.0,575.0
Zone-D,2024-03-11 14:00:00,21.2,52.9,101.54,24.2,64.1,486.0
Zone-A,2024-03-11 14:30:00,21.5,50.5,101.17,18.6,68.0,487.0
Zone-C,2024-03-11 15:00:00,20.9,48.7,101.21,16.5,65.6,541.0
Zone-C,2024-03-11 15:30:00,24.2,50.9,101.42,22.4,66.7,476.0
Zone-D,2024-03-11 16:00:00,21.9,45.0,101.41,13.4,62.3,457.0
Zone-B,2024-03-11 16:30:00,23.7,49.2,101.45,16.2,65.6,481.0
Zone-D,2024-03-11 17:00:00,22.7,48.7,101.33,18.3,69.0,478.0
Zone-B,2024-03-11 17:30:00,22.6,51.8,101.35,17.3,67.3,592.0
Zone-C,2024-03-11 18:00:00,25.2,49.5,101.63,16.3,64.5,530.0
Zone-D,2024-03-11 18:30:00,21.7,49.9,101.08,15.2,67.8,536.0
Zone-D,2024-03-11 19:00:00,22.5,55.2,101.73,16.5,69.8,517.0
Zone-B,2024-03-11 19:30:00,22.1,52.9,101.29,7.9,64.2,425.0
Zone-A,2024-03-11 20:00:00,21.4,48.4,101.19,11.8,61.4,468.0
Zone-B,2024-03-11 20:30:00,21.4,49.1,101.35,17.1,62.0,456.0
Zone-A,2024-03-11 21:00:00,24.5,52.3,101.14,11.2,63.5,487.0
Zone-D,2024-03-11 21:30:00,23.0,43.1,101.11,20.4,65.0,503.0
Zone-D,2024-03-11 22:00:00,21.2,52.4,100.94,13.7,58.8,499.0
Zone-A,2024-03-11 22:30:00,21.3,45.1,101.5,17.1,68.1,425.0
Zone-B,2024-03-11 23:00:00,20.5,53.6,101.46,19.2,64.3,495.0
Zone-B,2024-03-11 23:30:00,22.9,45.9,101.34,22.6,63.9,420.0
Zone-D,2024-03-12 00:00:00,22.6,47.3,101.28,18.3,66.7,476.0
Zone-A,2024-03-12 00:30:00,23.3,45.0,101.34,13.8,57.9,439.0
Zone-B,2024-03-12 01:00:00,22.0,52.2,101.3,14.1,67.4,514.0
Zone-A,2024-03-12 01:30:00,23.5,51.7,101.16,17.0,67.9,570.0
Zone-A,2024-03-12 02:00:00,21.2,48.9,101.48,17.5,63.5,466.0
Zone-C,2024-03-12 02:30:00,21.4,50.2,101.12,16.3,59.8,458.0
Zone-A,2024-03-12 03:00:00,22.3,47.2,101.22,14.6,71.4,435.0
Zone-A,2024-03-12 03:30:00,22.4,46.9,101.09,12.4,64.5,572.0
Zone-B,2024-03-12 04:00:00,23.8,48.6,101.25,16.8,65.2,468.0
Zone-D,2024-03-12 04:30:00,23.0,54.9,101.51,19.1,64.6,446.0
Zone-A,2024-03-12 05:00:00,19.0,43.8,101.26,16.5,67.5,512.0
Zone-B,2024-03-12 05:30:00,20.9,52.0,101.06,11.7,66.8,438.0
Zone-A,2024-03-12 06:00:00,20.9,47.1,101.33,16.8,66.8,471.0
Zone-D,2024-03-12 06:30:00,21.7,52.2,101.19,12.3,63.1,470.0
Zone-A,2024-03-12 07:00:00,22.0,49.9,101.27,12.6,62.2,532.0
Zone-D,2024-03-12 07:30:00,22.5,48.7,101.29,18.6,64.8,500.0
Zone-D,2024-03-12 08:00:00,24.3,53.2,101.17,18.2,64.5,447.0
Zone-A,2024-03-12 08:30:00,24.0,47.9,101.2,13.9,71.1,452.0
Zone-A,2024-03-12 09:00:00,21.1,49.0,101.41,14.8,63.0,531.0
Zone-A,2024-03-12 09:30:00,24.0,45.1,101.16,16.5,61.3,492.0
Zone-D,2024-03-12 10:00:00,23.9,51.9,101.4,17.2,66.0,483.0
Zone-B,2024-03-12 10:30:00,23.4,48.6,101.27,10.0,63.6,504.0
Zone-B,2024-03-12 11:00:00,22.0,52.8,101.21,13.8,63.4,512.0
Zone-D,2024-03-12 11:30:00,24.3,43.1,101.2,13.9,58.6,494.0
Zone-B,2024-03-12 12:00:00,21.5,48.7,101.08,14.7,61.5,458.0
Zone-B,2024-03-12 12:30:00,21.7,53.1,101.38,16.8,70.9,522.0
Zone-D,2024-03-12 13:00:00,20.4,48.3,101.13,14.6,63.8,453.0
Zone-B,2024-03-12 13:30:00,23.4,53.0,101.34,12.0,65.4,469.0
Zone-B,2024-03-12 14:00:00,23.9,46.4,101.43,16.9,67.7,510.0
Zone-C,2024-03-12 14:30:00,21.5,57.2,101.12,17.2,65.1,517.0
Zone-D,2024-03-12 15:00:00,22.5,46.8,101.03,11.2,63.7,512.0
Zone-C,2024-03-12 15:30:00,21.0,45.7,101.48,10.4,66.4,462.0
Zone-D,2024-03-12 16:00:00,23.8,48.4,100.95,14.9,62.5,541.0
Zone-A,2024-03-12 16:30:00,22.5,48.1,101.1,11.7,63.2,568.0
Zone-B,2024-03-12 17:00:00,21.8,52.8,101.0,9.2,62.2,533.0
Zone-C,2024-03-12 17:30:00,21.6,52.7,101.55,12.1,67.5,569.0
Zone-A,2024-03-12 18:00:00,23.6,45.2,100.93,13.7,63.8,542.0
Zone-D,2024-03-12 18:30:00,20.5,51.2,101.08,16.0,63.6,518.0
Zone-D,2024-03-12 19:00:00,21.5,43.4,101.4,18.5,62.5,540.0
Zone-C,2024-03-12 19:30:00,21.1,46.0,101.18,14.4,61.0,567.0
Zone-D,2024-03-12 20:00:00,19.7,48.4,101.12,19.1,60.5,541.0
Zone-D,2024-03-12 20:30:00,22.3,46.3,101.23,14.5,66.8,468.0
Zone-B,2024-03-12 21:00:00,22.9,50.1,101.39,12.4,64.3,506.0
Zone-B,2024-03-12 21:30:00,22.1,49.9,101.72,16.7,67.2,512.0
Zone-C,2024-03-12 22:00:00,22.8,50.6,101.66,14.8,67.5,604.0
Zone-C,2024-03-12 22:30:00,23.0,49.1,101.15,13.5,66.2,589.0
Zone-D,2024-03-12 23:00:00,22.9,48.8,101.24,14.6,61.0,477.0
Zone-A,2024-03-12 23:30:00,21.2,58.3,101.49,11.8,60.3,435.0
Zone-D,2024-03-13 00:00:00,24.1,46.0,101.62,15.7,64.3,443.0
Zone-D,2024-03-13 00:30:00,23.9,51.6,101.48,14.2,67.0,574.0
Zone-B,2024-03-13 01:00:00,22.9,46.8,101.4,17.3,70.0,529.0
Zone-A,2024-03-13 01:30:00,23.7,51.8,101.03,17.5,65.4,600.0
Zone-B,2024-03-13 02:00:00,19.8,46.6,101.45,19.5,64.6,494.0
Zone-B,2024-03-13 02:30:00,22.3,48.5,101.5,13.6,67.1,434.0
Zone-A,2024-03-13 03:00:00,24.6,43.6,101.09,21.8,65.3,467.0
Zone-C,2024-03-13 03:30:00,20.1,48.7,101.36,16.5,66.0,411.0
Zone-C,2024-03-13 04:00:00,22.2,51.0,101.37,15.1,61.3,454.0
Zone-C,2024-03-13 04:30:00,23.8,47.7,101.16,14.1,61.4,532.0
Zone-A,2024-03-13 05:00:00,20.1,53.3,101.03,14.2,66.0,540.0
Zone-C,2024-03-13 05:30:00,21.7,47.9,101.58,15.5,64.5,409.0
Zone-D,2024-03-13 06:00:00,22.3,50.0,101.03,12.7,65.3,523.0
Zone-A,2024-03-13 06:30:00,20.5,47.0,101.32,12.5,64.4,589.0
Zone-C,2024-03-13 07:00:00,21.9,53.1,101.05,12.7,62.6,445.0
Zone-B,2024-03-13 07:30:00,19.3,50.6,101.38,12.2,62.8,504.0
Zone-A,2024-03-13 08:00:00,22.0,53.1,101.53,13.0,64.8,450.0
Zone-D,2024-03-13 08:30:00,24.3,50.8,101.5,13.9,68.1,537.0
Zone-B,2024-03-13 09:00:00,23.9,46.0,101.31,18.3,62.2,526.0
Zone-C,2024-03-13 09:30:00,22.9,52.1,101.37,16.9,66.3,559.0
Zone-C,2024-03-13 10:00:00,20.9,51.0,101.54,12.6,62.9,526.0
Zone-C,2024-03-13 10:30:00,24.1,49.6,101.32,16.1,63.5,610.0
Zone-A,2024-03-13 11:00:00,20.6,50.3,101.32,8.4,62.5,432.0
Zone-C,2024-03-13 11:30:00,23.1,44.9,101.49,11.5,67.9,430.0
Zone-C,2024-03-13 12:00:00,22.6,52.8,101.41,11.3,68.4,527.0
Zone-B,2024-03-13 12:30:00,18.5,50.3,101.87,18.3,63.5,527.0
Zone-A,2024-03-13 13:00:00,21.4,53.0,101.14,18.6,67.8,532.0
Zone-A,2024-03-13 13:30:00,25.1,53.0,101.5,18.4,67.1,523.0
Zone-C,2024-03-13 14:00:00,21.0,48.0,101.39,16.8,65.1,476.0
Zone-A,2024-03-13 14:30:00,21.8,49.8,101.36,14.3,68.5,494.0
Zone-C,2024-03-13 15:00:00,21.0,49.8,101.08,21.0,67.0,499.0
Zone-D,2024-03-13 15:30:00,24.1,49.4,101.29,12.9,62.2,511.0
Zone-A,2024-03-13 16:00:00,23.6,47.4,101.25,14.4,67.3,478.0
Zone-A,2024-03-13 16:30:00,23.1,52.1,101.17,14.1,65.2,478.0
Zone-B,2024-03-13 17:00:00,20.7,54.4,100.94,15.7,69.1,460.0
Zone-B,2024-03-13 17:30:00,22.0,52.7,100.69,14.8,60.3,548.0
Zone-C,2024-03-13 18:00:00,20.8,55.4,101.11,16.3,62.4,488.0
Zone-A,2024-03-13 18:30:00,22.0,50.1,101.63,19.3,62.8,502.0
Zone-B,2024-03-13 19:00:00,20.3,45.8,101.17,20.0,59.9,529.0
Zone-D,2024-03-13 19:30:00,22.7,47.8,101.43,16.9,64.9,492.0
Zone-D,2024-03-13 20:00:00,21.6,47.5,101.33,13.5,65.5,469.0
Zone-A,2024-03-13 20:30:00,21.0,48.4,101.55,10.9,70.3,538.0
Zone-C,2024-03-13 21:00:00,19.7,48.3,100.98,16.9,68.8,511.0
Zone-D,2024-03-13 21:30:00,23.8,50.6,101.49,15.9,65.0,539.0
Zone-A,2024-03-13 22:00:00,21.8,54.4,101.24,16.7,62.9,421.0
Zone-A,2024-03-13 22:30:00,22.5,44.6,101.73,13.9,64.8,484.0
Zone-D,2024-03-13 23:00:00,22.2,51.0,101.13,7.3,61.7,476.0
Zone-D,2024-03-13 23:30:00,22.4,50.6,101.45,10.1,62.3,478.0
Zone-D,2024-03-14 00:00:00,24.3,58.2,101.03,18.3,65.3,528.0
Zone-A,2024-03-14 00:30:00,20.0,54.1,100.86,11.1,64.2,470.0
Zone-B,2024-03-14 01:00:00,22.0,47.9,101.23,14.4,64.3,507.0
Zone-B,2024-03-14 01:30:00,23.3,47.7,101.57,15.1,68.8,483.0
Zone-C,2024-03-14 02:00:00,20.7,50.2,101.81,10.9,67.0,509.0
Zone-C,2024-03-14 02:30:00,22.6,46.4,101.39,15.9,60.5,507.0
Zone-C,2024-03-14 03:00:00,21.6,48.9,101.29,18.3,66.4,448.0
Zone-D,2024-03-14 03:30:00,22.7,49.9,101.18,11.3,67.4,471.0
Zone-C,2024-03-14 04:00:00,23.4,46.8,101.7,22.9,66.6,565.0
Zone-C,2024-03-14 04:30:00,21.3,48.3,101.54,15.5,60.9,504.0
Zone-D,2024-03-14 05:00:00,20.2,49.4,101.51,19.4,65.8,567.0
Zone-D,2024-03-14 05:30:00,21.3,55.1,101.16,12.6,63.6,463.0
Zone-C,2024-03-14 06:00:00,22.8,53.8,101.3,15.9,60.9,505.0
Zone-A,2024-03-14 06:30:00,24.7,54.2,101.08,13.7,75.2,521.0
Zone-B,2024-03-14 07:00:00,24.3,54.8,101.08,17.2,65.6,587.0
Zone-D,2024-03-14 07:30:00,24.9,47.5,101.99,15.5,66.9,367.0
Zone-D,2024-03-14 08:00:00,23.5,43.5,101.27,13.3,66.4,509.0
Zone-C,2024-03-14 08:30:00,22.9,53.7,101.1,14.4,62.5,454.0
Zone-A,2024-03-14 09:00:00,24.9,46.2,101.14,21.6,64.6,497.0
Zone-A,2024-03-14 09:30:00,22.6,46.4,101.12,13.2,68.1,534.0
Zone-D,2024-03-14 10:00:00,21.1,49.6,101.46,7.8,65.9,538.0
Zone-B,2024-03-14 10:30:00,20.6,52.0,101.3,20.4,63.4,530.0
Zone-B,2024-03-14 11:00:00,19.8,50.2,101.46,13.4,68.4,546.0
Zone-C,2024-03-14 11:30:00,22.2,49.2,100.68,13.1,68.3,486.0
Zone-D,2024-03-14 12:00:00,22.7,48.6,101.01,17.2,61.3,487.0
Zone-B,2024-03-14 12:30:00,22.5,48.0,101.61,20.9,62.6,461.0
Zone-D,2024-03-14 13:00:00,21.3,53.5,101.4,17.3,68.9,455.0
Zone-B,2024-03-14 13:30:00,22.8,50.2,101.39,18.4,64.5,465.0
Zone-A,2024-03-14 14:00:00,20.4,55.3,101.29,10.9,69.1,415.0
Zone-C,2024-03-14 14:30:00,19.7,49.1,101.19,15.9,59.2,516.0
Zone-D,2024-03-14 15:00:00,23.9,47.1,101.22,12.6,66.0,446.0
Zone-C,2024-03-14 15:30:00,20.2,49.5,101.37,15.5,63.7,533.0
Zone-D,2024-03-14 16:00:00,22.3,46.5,100.76,16.6,64.2,445.0
Zone-B,2024-03-14 16:30:00,24.4,54.8,101.55,15.7,55.5,559.0
Zone-B,2024-03-14 17:00:00,20.6,48.3,101.48,21.1,69.6,509.0
Zone-D,2024-03-14 17:30:00,23.1,46.7,100.98,18.2,66.0,428.0
Zone-B,2024-03-14 18:00:00,21.9,51.9,101.48,16.9,63.9,458.0
Zone-A,2024-03-14 18:30:00,22.2,52.4,101.48,19.7,65.1,444.0
Zone-D,2024-03-14 19:00:00,23.6,50.2,101.04,16.9,69.2,519.0
